"기준_년분기_코드","서울시_코드","서울시_코드_명","서비스_업종_코드","서비스_업종_코드_명","당월_매출_금액","당월_매출_건수","주중_매출_금액","주말_매출_금액","월요일_매출_금액","화요일_매출_금액","수요일_매출_금액","목요일_매출_금액","금요일_매출_금액","토요일_매출_금액","일요일_매출_금액","시간대_00~06_매출_금액","시간대_06~11_매출_금액","시간대_11~14_매출_금액","시간대_14~17_매출_금액","시간대_17~21_매출_금액","시간대_21~24_매출_금액","남성_매출_금액","여성_매출_금액","연령대_10_매출_금액","연령대_20_매출_금액","연령대_30_매출_금액","연령대_40_매출_금액","연령대_50_매출_금액","연령대_60_이상_매출_금액","주중_매출_건수","주말_매출_건수","월요일_매출_건수","화요일_매출_건수","수요일_매출_건수","목요일_매출_건수","금요일_매출_건수","토요일_매출_건수","일요일_매출_건수","시간대_건수~06_매출_건수","시간대_건수~11_매출_건수","시간대_건수~14_매출_건수","시간대_건수~17_매출_건수","시간대_건수~21_매출_건수","시간대_건수~24_매출_건수","남성_매출_건수","여성_매출_건수","연령대_10_매출_건수","연령대_20_매출_건수","연령대_30_매출_건수","연령대_40_매출_건수","연령대_50_매출_건수","연령대_60_이상_매출_건수"
"20242","11","서울시","CS200001","일반교습학원","903351919099","2819492","724704115771","178647803328","170653380364","152504156075","135002700482","128622405623","137921473227","113882117361","64765685967","9039735250","82984084531","117927273795","254795642710","350009315433","88595867380","386452735687","511353905696","1207098593","5523854639","43924654180","560345791393","262603483278","24203610841","2243833","575659","528443","460185","429663","403803","421739","361623","214036","33160","302700","371046","798984","1050470","263132","1153550","1653592","6766","26526","166507","1799944","738480","68928"
"20242","11","서울시","CS100010","커피-음료","782358164451","103555286","584258769707","198099394744","105566881767","117987076146","113790839124","119985871771","126928100899","108200115399","89899279345","5123983658","115353487941","277506997636","192135386088","158022120881","34216188247","308672894038","380160876291","9824388355","159296937327","202008515191","144168993747","112216649435","61318345772","79392694","24162592","14916744","16218110","15291042","16072788","16894010","13064659","11097933","331052","22586440","34737924","24200870","18494889","3204111","45092857","52316445","1658990","23555860","29424757","19753760","15469819","7546110"
"20242","11","서울시","CS100009","호프-간이주점","843534847263","18202669","582878859276","260655987987","91923976418","115083115166","115263340945","117676745711","142931681036","157422965669","103233022318","207599046929","10688756156","45233035748","28470974261","194016198343","357526835826","483987058945","262066499826","7286196615","172677082982","216586162914","140728591223","132226814694","76541746926","12664584","5538085","2124869","2482244","2477440","2526447","3053584","3243743","2294342","3274142","526973","2387723","1272120","4555139","6186572","9897404","7153589","213556","4516526","4971312","2988642","2732935","1627853"
"20242","11","서울시","CS100008","분식전문점","339859724831","30318691","253497103004","86362621827","45997300304","51054705565","49956415284","50711452234","55777229617","50129767061","36232854766","6864683176","31357820183","114001082040","56279026494","106159995938","25197117000","150416012645","154769990891","4544534056","49305282437","72615504328","76111330862","64703632127","37904317934","23006292","7312399","4290867","4665920","4499233","4641510","4908762","4216561","3095838","453638","3337752","9731646","5339342","9491897","1964416","13599031","15311434","532910","4933159","6965592","6974991","5987662","3515944"
"20242","11","서울시","CS100007","치킨전문점","140591907915","4426614","102229479501","38362428414","16161404752","20543760605","19799416468","20803170276","24921727400","22004681151","16357747263","10290403032","655420938","5543587231","8367853956","59755357202","55979285556","78084066933","45879131700","941820596","17083423342","28011561713","29123053761","30275898228","18527667659","3154340","1272274","500361","625168","624464","632317","772030","709568","562706","232852","33273","293028","369296","2062597","1435568","2504802","1659360","48073","607648","900751","931064","1006368","670314"
"20242","11","서울시","CS100006","패스트푸드점","184285142342","15525227","129657769887","54627372455","23532066046","24980021553","25898602978","26609883247","28637196063","28619273377","26008099078","3916482577","12366862704","55869975232","32779243543","64052806231","15299772055","86313446406","78067116877","2991890709","36219377410","45770304443","35865689562","29008776299","14524524858","11186596","4338631","2083848","2209938","2210343","2270890","2411577","2290883","2047748","495299","1322438","4416140","2790288","5003143","1497919","7729520","7170406","352055","3671781","4312725","3002936","2370116","1190321"
"20242","11","서울시","CS100005","제과점","270981534894","26235908","198917591852","72063943042","36350293201","39944030779","40258102995","38731944903","43633219974","39651296230","32412646812","303877016","48857514624","68707866811","62214354324","75640788394","15257133725","95432492296","147429889518","1711008247","32846795457","54714649251","58604184472","52304534877","42681209532","19517538","6718370","3697194","3924647","3961298","3824741","4109658","3661714","3056656","28648","5205824","6101002","5736942","7510492","1653000","9699363","15436265","266397","3896356","5799940","5766500","5163453","4242934"
"20242","11","서울시","CS100004","양식음식점","344805278153","8554205","235685877551","109119400602","36802082674","44973726276","48441506404","49120930552","56347631645","62725180737","46394219865","18462105140","3267874066","103253712472","46510544988","121296364576","52014676911","138777993309","137893061122","2405980343","59952258820","90647799525","58055252445","42583246281","23026517026","6042286","2511919","1010470","1186461","1223099","1234889","1387367","1379858","1132061","257269","164708","3339741","1338838","2818079","635570","3501651","4200230","122980","2002847","2426611","1538643","1105237","505614"
"20242","11","서울시","CS100003","일식음식점","283576871188","7079652","218038244025","65538627163","37103651335","44541044040","42166312779","44849146251","49378089620","39951922733","25586704430","8350824069","700844780","91364044904","23830798722","106643295672","52687063041","123450513320","92989531329","2263815627","47126928975","65417036666","42835392816","35249902061","23546968535","5576752","1502900","996698","1146710","1072559","1135011","1225774","871930","630970","111859","40894","3237699","790067","2353593","545540","3163750","3056336","129103","1630936","1816863","1145813","964925","532452"
"20242","11","서울시","CS100002","중식음식점","283338382363","8773160","206242935209","77095447154","35608384295","41376063414","41685020429","41690037357","45883429714","41626216806","35469230348","5503248882","2523726295","104754241368","32451150324","107957980269","30148035225","135174528518","86961336994","1913492470","34704490732","56991169851","49401271133","45958394269","33167151930","6605420","2167740","1175732","1322096","1327167","1346049","1434376","1155005","1012735","127212","110608","4064373","1237340","2784116","449511","4671689","3133273","126424","1382650","1888167","1694559","1590776","1122393"
